@relation 14_3_24h_10

@attribute SSL numeric
@attribute SLP numeric
@attribute DSLP numeric
@attribute WS numeric
@attribute WD numeric
@attribute LT numeric
@attribute LG numeric
@attribute CAP numeric
@attribute HWS numeric
@attribute SS numeric
@attribute storm_surge_predict numeric

@data
1.63,0.998322,0.017,0.019,0.525,0.388,0.9,0.972359,0.257222,0.02,0.07
1.63,0.998263,0.0176,0.0186,0.5875,0.388,0.9,0.972359,0.257222,0.02,0.07
1.63,0.998243,0.0178,0.0168,0.55,0.388,0.9,0.972359,0.257222,0.03,0.07
1.62,0.998085,0.0194,0.019,0.5375,0.388,0.9,0.972359,0.257222,0.04,0.08
1.62,0.998105,0.0192,0.0232,0.6,0.388,0.9,0.972359,0.257222,0.05,0.08
1.63,0.998519,0.015,0.0344,0.625,0.388,0.9,0.972359,0.257222,0.06,0.08
1.65,0.998973,0.0104,0.0336,0.575,0.394,0.892667,0.967423,0.282944,0.06,0.08
1.67,0.999427,0.0058,0.0426,0.6125,0.394,0.892667,0.967423,0.282944,0.06,0.08
1.69,0.999526,0.0048,0.0474,0.6,0.394,0.892667,0.967423,0.282944,0.05,0.07
1.72,0.999289,0.0072,0.0394,0.6875,0.394,0.892667,0.967423,0.282944,0.06,0.07
1.73,0.999052,0.0096,0.0486,0.7,0.394,0.892667,0.967423,0.282944,0.06,0.06
1.72,0.998756,0.0126,0.0498,0.7,0.394,0.892667,0.967423,0.282944,0.06,0.07
1.7,0.99846,0.0156,0.0498,0.675,0.4,0.885333,0.962488,0.308667,0.07,0.08
1.66,0.998243,0.0178,0.0394,0.65,0.4,0.885333,0.962488,0.308667,0.08,0.07
1.61,0.99846,0.0156,0.034,0.6375,0.4,0.885333,0.962488,0.308667,0.09,0.07
1.55,0.998638,0.0138,0.0244,0.6875,0.4,0.885333,0.962488,0.308667,0.08,0.06
1.51,0.999112,0.009,0.015,0.6375,0.4,0.885333,0.962488,0.308667,0.09,0.06
1.49,0.999743,0.0026,0.011,0.575,0.4,0.885333,0.962488,0.308667,0.09,0.07
1.49,1.000099,-0.001,0.0124,0.275,0.408,0.88,0.962488,0.308667,0.09,0.07
1.51,1.000079,-0.0008,0.013,0.3875,0.408,0.88,0.962488,0.308667,0.09,0.08
1.55,1.000118,-0.0012,0.0172,0.35,0.408,0.88,0.962488,0.308667,0.09,0.08
1.58,1.000257,-0.0026,0.0158,0.3125,0.408,0.88,0.962488,0.308667,0.08,0.08
1.62,1.000039,-0.0004,0.0108,0.25,0.408,0.88,0.962488,0.308667,0.08,0.09
1.66,0.999842,0.0016,0.0112,0.2375,0.408,0.88,0.962488,0.308667,0.08,0.09
1.67,0.999388,0.0062,0.0108,0.225,0.42,0.874667,0.957552,0.334389,0.07,0.09
1.67,0.999309,0.007,0.0118,0.2125,0.42,0.874667,0.957552,0.334389,0.07,0.1
1.66,0.999408,0.006,0.0112,0.5375,0.42,0.874667,0.957552,0.334389,0.07,0.1
1.65,0.999526,0.0048,0.011,0.3875,0.42,0.874667,0.957552,0.334389,0.08,0.1
1.63,0.999882,0.0012,0.0106,0.3875,0.42,0.874667,0.957552,0.334389,0.08,0.1
1.62,0.999882,0.0012,0.0184,0.55,0.42,0.874667,0.957552,0.334389,0.08,0.11
1.63,0.999882,0.0012,0.0208,0.2875,0.44,0.869333,0.94768,0.360111,0.08,0.13
1.65,0.999803,0.002,0.0264,0.525,0.44,0.869333,0.94768,0.360111,0.08,0.13
